"net1","net2","mean_full","mean_pos","mean_neg","n_edges","subject","condition"
"Default","DorsAttn",-0.0510410131737016,0.17488413105221,-0.193746800044912,1196,"sub-001","PLCB"
"Default","SalVentAttn",-0.0255654649361739,0.198343971638893,-0.19780349307084,1012,"sub-001","PLCB"
"Default","Limbic",0.0881790050700639,0.187545488441556,-0.120602257744195,552,"sub-001","PLCB"
"Default","Cont",0.0349533728778813,0.220007785689817,-0.169283509554803,1380,"sub-001","PLCB"
"Default","Default",0.214933712372904,0.329766772127526,-0.134499699927297,1035,"sub-001","PLCB"
"Default","Subcortex",0.0654418655382549,0.165268114403626,-0.109908361869458,1472,"sub-001","PLCB"
"Subcortex","Vis",0.103060476816095,0.202034438426549,-0.113593865265894,928,"sub-001","PLCB"
"Subcortex","SomMot",0.164650680809013,0.272503174638475,-0.119687712014115,1120,"sub-001","PLCB"
"Subcortex","DorsAttn",0.0681445227508686,0.15229018666599,-0.104153741456284,832,"sub-001","PLCB"
"Subcortex","SalVentAttn",0.175722407876567,0.243910599195891,-0.12253586407742,704,"sub-001","PLCB"
"Subcortex","Limbic",0.106158851056594,0.200255504375113,-0.119506574158614,384,"sub-001","PLCB"
"Subcortex","Cont",0.0339796459258863,0.148542446587375,-0.123013821647265,960,"sub-001","PLCB"
"Subcortex","Default",0.0654418655382549,0.165268114403626,-0.109908361869458,1472,"sub-001","PLCB"
"Subcortex","Subcortex",0.229022313418612,0.320253094348351,-0.0874087735899447,496,"sub-001","PLCB"
"Vis","Vis",0.443367077355301,0.467737162567126,-0.0819436483218213,406,"sub-002","LSD"
"Vis","SomMot",0.250783101860396,0.292260029856688,-0.0870109783976977,1015,"sub-002","LSD"
"Vis","DorsAttn",0.33428257585957,0.383972905409443,-0.115580540998613,754,"sub-002","LSD"
"Vis","SalVentAttn",0.192240443526543,0.239372179166403,-0.102332904222578,638,"sub-002","LSD"
"Vis","Limbic",-0.055100707495682,0.0827493524471462,-0.132370920468119,348,"sub-002","LSD"
"Vis","Cont",0.0195568739972296,0.197855891613432,-0.162888632400745,870,"sub-002","LSD"
"Vis","Default",-0.0246636602852577,0.190315849565719,-0.181646103924816,1334,"sub-002","LSD"
"Vis","Subcortex",0.1031641444033,0.192017671264505,-0.10673621615288,928,"sub-002","LSD"
"SomMot","Vis",0.250783101860396,0.292260029856688,-0.0870109783976977,1015,"sub-002","LSD"
"SomMot","SomMot",0.661820143006204,0.662994596394037,-0.0358051693665229,595,"sub-002","LSD"
"SomMot","DorsAttn",0.275565888085177,0.336657654829221,-0.13447376667146,910,"sub-002","LSD"
"SomMot","SalVentAttn",0.323155461178352,0.371158350010093,-0.121671308662448,770,"sub-002","LSD"
"SomMot","Limbic",-0.0232016859205862,0.101344137063397,-0.145397587716192,420,"sub-002","LSD"
"SomMot","Cont",-0.0791108784248006,0.15015089677694,-0.189855973225641,1050,"sub-002","LSD"
"SomMot","Default",-0.0990601515913536,0.155376402890763,-0.22533256803508,1610,"sub-002","LSD"
"SomMot","Subcortex",0.148758727919947,0.230030271082268,-0.11345700567924,1120,"sub-002","LSD"
"DorsAttn","Vis",0.33428257585957,0.383972905409444,-0.115580540998613,754,"sub-002","LSD"
"DorsAttn","SomMot",0.275565888085177,0.336657654829221,-0.13447376667146,910,"sub-002","LSD"
"DorsAttn","DorsAttn",0.508382999139809,0.52969765522545,-0.163028667557902,325,"sub-002","LSD"
"DorsAttn","SalVentAttn",0.312529165105264,0.352797531327335,-0.098839831006483,572,"sub-002","LSD"
"DorsAttn","Limbic",-0.0715937054641812,0.0961794647834896,-0.150731993316856,312,"sub-002","LSD"
"DorsAttn","Cont",0.143408137455794,0.290975589595782,-0.153436042331595,780,"sub-002","LSD"
"DorsAttn","Default",-0.000853845102849837,0.205022091421285,-0.190842249547952,1196,"sub-002","LSD"
"DorsAttn","Subcortex",0.110697661462038,0.22811110650228,-0.11108329028064,832,"sub-002","LSD"
"SalVentAttn","Vis",0.192240443526543,0.239372179166403,-0.102332904222578,638,"sub-002","LSD"
